GENESIS-Tabelle: 71211-0007
Steuereinnahmen: Bundesländer, Quartale, Steuerarten vor der;;;;;;;;;;;;;;;;;;
Steuerverteilung;;;;;;;;;;;;;;;;;;
Statistik über das Steueraufkommen;;;;;;;;;;;;;;;;;;
Steuereinnahmen (Tsd. EUR);;;;;;;;;;;;;;;;;;
;;2008;2008;2008;2008;2009;2009;2009;2009;2010;2010;2010;2010;2011;2011;2011;2011;2012
;;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal
Mecklenburg-Vorpommern;Totalisatorsteuer;-;-;3;5011;-;-;3;-;0;0;3;-;-;-;2;-;-
Mecklenburg-Vorpommern;Andere Rennwettsteuer;-;-;-;-;-;-;0;-;0;0;0;-;-;-;-;-;-
Mecklenburg-Vorpommern;Lotteriesteuer;5975;5518;5080;-;5861;4682;4575;5401;4763;4676;4308;-;4818;4841;4842;4764;4837
Mecklenburg-Vorpommern;Feuerschutzsteuer;1472;1357;1453;1453;1453;1967;1538;1538;1538;1401;801;1281;3081;2326;1181;1303;3254
Mecklenburg-Vorpommern;Biersteuer;5011;5724;6653;5372;4846;6064;6520;5466;4722;6043;6656;5300;4622;5708;5712;4320;3968
Mecklenburg-Vorpommern;Sonstige Landessteuern;-;-;-;-;-;-;0;-;0;0;0;-;-;-;-;-;-
Mecklenburg-Vorpommern;Gemeindesteuern;115008;128878;119488;99610;114600;130176;112304;97815;115070;128085;123827;122540;132076;136098;120143;135401;132076
Mecklenburg-Vorpommern;Grundsteuer A (Land- und Forstwirtschaft);3462;3432;3842;2695;3300;3370;3630;3360;3212;3429;3821;3274;3382;3442;4080;3253;3382
Mecklenburg-Vorpommern;Grundsteuer B (Sonstige Grundstücke);35843;33991;37755;28967;35500;34729;38178;31335;36418;36531;40302;32168;38407;38538;41769;32226;38407
Mecklenburg-Vorpommern;Gewerbesteuer (brutto);72829;88040;74278;65662;72700;88913;67005;60581;71975;84628;76006;84483;86650;90299;70156;97060;86650
